TreeDepth,PID,PPID,ImageFileName,Offset(V),Threads,Handles,SessionId,Wow64,CreateTime,ExitTime,Audit,Cmd,Path
2,304,468,svchost.exe,0xfa8003537b30,19,314,0,False,2023-03-27 15:19:39.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\svchost.exe,C:\\Windows\\system32\\svchost.exe -k LocalServiceNoNetwork,C:\\Windows\\system32\\svchost.exe
2,1264,468,SearchIndexer.,0xfa800348b400,13,658,0,False,2023-03-27 15:20:02.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\SearchIndexer.exe,C:\\Windows\\system32\\SearchIndexer.exe /Embedding,C:\\Windows\\system32\\SearchIndexer.exe
2,2204,468,svchost.exe,0xfa8001ab3b30,18,354,0,False,2023-03-27 15:21:43.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\svchost.exe,C:\\Windows\\System32\\svchost.exe -k secsvcs,C:\\Windows\\System32\\svchost.exe
2,852,468,spoolsv.exe,0xfa80035a6790,12,265,0,False,2023-03-27 15:19:39.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\spoolsv.exe,C:\\Windows\\System32\\spoolsv.exe,C:\\Windows\\System32\\spoolsv.exe
2,1812,468,taskhost.exe,0xfa8003829b30,9,179,1,False,2023-03-27 15:19:50.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\taskhost.exe,"""taskhost.exe""",C:\\Windows\\system32\\taskhost.exe
2,280,468,svchost.exe,0xfa800352f570,17,535,0,False,2023-03-27 15:19:37.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\svchost.exe,C:\\Windows\\system32\\svchost.exe -k NetworkService,C:\\Windows\\system32\\svchost.exe
2,572,468,svchost.exe,0xfa8003440b30,10,349,0,False,2023-03-27 15:19:33.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\svchost.exe,C:\\Windows\\system32\\svchost.exe -k DcomLaunch,C:\\Windows\\system32\\svchost.exe
1,484,368,lsm.exe,0xfa80030e4b30,10,141,0,False,2023-03-27 15:19:29.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\lsm.exe,C:\\Windows\\system32\\lsm.exe,C:\\Windows\\system32\\lsm.exe
0,380,360,csrss.exe,0xfa80031dfb30,10,411,1,False,2023-03-27 15:19:21.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\csrss.exe,"%SystemRoot%\\system32\\csrss.exe ObjectDirectory=\\Windows SharedSection=1024,20480,768 Windows=On SubSystemType=Windows ServerDll=basesrv,1 ServerDll=winsrv:UserServerDllInitialization,3 ServerDll=winsrv:ConServerDllInitialization,2 ServerDll=sxssrv,4 ProfileControl=Off MaxRequestThreads=16",C:\\Windows\\system32\\csrss.exe
1,2628,380,conhost.exe,0xfa800500b1c0,2,54,1,False,2023-03-27 15:32:51.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\conhost.exe,\\??\\C:\\Windows\\system32\\conhost.exe,C:\\Windows\\system32\\conhost.exe
