TreeDepth,PID,PPID,ImageFileName,Offset(V),Threads,Handles,SessionId,Wow64,CreateTime,ExitTime,Audit,Cmd,Path
1,6784,3968,msedge.exe,0xa3826aaf5080,14,-,2,False,2023-03-30 20:52:42.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Program Files (x86)\\Microsoft\\Edge\\Application\\msedge.exe,"""C:\\Program Files (x86)\\Microsoft\\Edge\\Application\\msedge.exe"" --type=renderer --disable-gpu-compositing --lang=en-US --js-flags=--ms-user-locale=en_GB --device-scale-factor=1 --num-raster-threads=1 --renderer-client-id=89 --time-ticks-at-unix-epoch=-1680208556341991 --launch-time-ticks=1006324104 --mojo-platform-channel-handle=10076 --field-trial-handle=2008,i,17505798324339821025,12710742180276585522,131072 /prefetch:1",C:\\Program Files (x86)\\Microsoft\\Edge\\Application\\msedge.exe
1,4612,3968,msedge.exe,0xa3826abe4080,12,-,2,False,2023-03-30 20:44:49.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Program Files (x86)\\Microsoft\\Edge\\Application\\msedge.exe,"""C:\\Program Files (x86)\\Microsoft\\Edge\\Application\\msedge.exe"" --type=gpu-process --gpu-preferences=UAAAAAAAAADgAAAYAAAAAAAAAAAAAAAAAABgAAAAAAAwAAAAAAAAAAAAAAAQAAAAAAAAAAAAAAAAAAAAAAAAABgAAAAAAAAAGAAAAAAAAAAIAAAAAAAAAAgAAAAAAAAACAAAAAAAAAA= --mojo-platform-channel-handle=1788 --field-trial-handle=2008,i,17505798324339821025,12710742180276585522,131072 /prefetch:2",C:\\Program Files (x86)\\Microsoft\\Edge\\Application\\msedge.exe
1,196,3968,msedge.exe,0xa3826a426080,0,-,2,False,2023-03-30 20:45:59.000000 UTC,2023-03-30 20:56:37.000000 UTC,\\Device\\HarddiskVolume2\\Program Files (x86)\\Microsoft\\Edge\\Application\\msedge.exe,-,-
1,6980,3968,msedge.exe,0xa3826964c080,9,-,2,False,2023-03-30 20:46:01.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Program Files (x86)\\Microsoft\\Edge\\Application\\msedge.exe,"""C:\\Program Files (x86)\\Microsoft\\Edge\\Application\\msedge.exe"" --type=utility --utility-sub-type=audio.mojom.AudioService --lang=en-US --service-sandbox-type=audio --mojo-platform-channel-handle=9800 --field-trial-handle=2008,i,17505798324339821025,12710742180276585522,131072 /prefetch:8",C:\\Program Files (x86)\\Microsoft\\Edge\\Application\\msedge.exe
1,7840,3968,msedge.exe,0xa3826a494080,11,-,2,False,2023-03-30 20:57:35.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Program Files (x86)\\Microsoft\\Edge\\Application\\msedge.exe,-,-
1,8008,3968,msedge.exe,0xa3826b1e3080,14,-,2,False,2023-03-30 20:45:37.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Program Files (x86)\\Microsoft\\Edge\\Application\\msedge.exe,"""C:\\Program Files (x86)\\Microsoft\\Edge\\Application\\msedge.exe"" --type=renderer --disable-gpu-compositing --lang=en-US --js-flags=--ms-user-locale=en_GB --device-scale-factor=1 --num-raster-threads=1 --renderer-client-id=29 --time-ticks-at-unix-epoch=-1680208556341991 --launch-time-ticks=581565306 --mojo-platform-channel-handle=7892 --field-trial-handle=2008,i,17505798324339821025,12710742180276585522,131072 /prefetch:1",C:\\Program Files (x86)\\Microsoft\\Edge\\Application\\msedge.exe
1,6408,3968,msedge.exe,0xa3826a722080,14,-,2,False,2023-03-30 20:45:48.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Program Files (x86)\\Microsoft\\Edge\\Application\\msedge.exe,"""C:\\Program Files (x86)\\Microsoft\\Edge\\Application\\msedge.exe"" --type=renderer --disable-gpu-compositing --lang=en-US --js-flags=--ms-user-locale=en_GB --device-scale-factor=1 --num-raster-threads=1 --renderer-client-id=31 --time-ticks-at-unix-epoch=-1680208556341991 --launch-time-ticks=592016099 --mojo-platform-channel-handle=4328 --field-trial-handle=2008,i,17505798324339821025,12710742180276585522,131072 /prefetch:1",C:\\Program Files (x86)\\Microsoft\\Edge\\Application\\msedge.exe
1,2284,3968,msedge.exe,0xa3826a74a080,8,-,2,False,2023-03-30 20:44:50.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Program Files (x86)\\Microsoft\\Edge\\Application\\msedge.exe,"""C:\\Program Files (x86)\\Microsoft\\Edge\\Application\\msedge.exe"" --type=utility --utility-sub-type=storage.mojom.StorageService --lang=en-US --service-sandbox-type=service --mojo-platform-channel-handle=2460 --field-trial-handle=2008,i,17505798324339821025,12710742180276585522,131072 /prefetch:8",C:\\Program Files (x86)\\Microsoft\\Edge\\Application\\msedge.exe
1,7084,3968,msedge.exe,0xa38268a9d080,14,-,2,False,2023-03-30 20:46:32.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Program Files (x86)\\Microsoft\\Edge\\Application\\msedge.exe,-,-
1,4564,3968,msedge.exe,0xa3826a747080,12,-,2,False,2023-03-30 20:44:49.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Program Files (x86)\\Microsoft\\Edge\\Application\\msedge.exe,"""C:\\Program Files (x86)\\Microsoft\\Edge\\Application\\msedge.exe"" --type=utility --utility-sub-type=network.mojom.NetworkService --lang=en-US --service-sandbox-type=none --mojo-platform-channel-handle=2240 --field-trial-handle=2008,i,17505798324339821025,12710742180276585522,131072 /prefetch:3",C:\\Program Files (x86)\\Microsoft\\Edge\\Application\\msedge.exe
0,7520,6584,OneDrive.exe,0xa3826bae4080,28,-,2,True,2023-03-30 20:45:53.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Users\\mapo9\\AppData\\Local\\Microsoft\\OneDrive\\OneDrive.exe, /updateInstalled /background,C:\\Users\\mapo9\\AppData\\Local\\Microsoft\\OneDrive\\OneDrive.exe

