Ransomware Family,WithVirus Injections,NoVirus Injections,Differential,Confidence
Locky.AZ,26,17,+9,100%
W32.MyDoom.A.,0,0,+0,0%
Win32.BlackWorm,10,12,+-2,0%
DLLHijacking,8,18,+-10,0%
WannaCry,7,9,+-2,0%
GoldenEye,42,8,+34,100%
LuckyLcoker,15,12,+3,100%
InfinityCrypt,4,20,+-16,0%
DeriaLock,3,9,+-6,0%
RedTail,4,18,+-14,0%
Dharma,12,13,+-1,0%
PowerLoader,5,6,+-1,0%
SporaRansomware,13,9,+4,100%
Cerber,6,6,+0,0%
GandCrab,14,19,+-5,0%
