dump_id,suspicious_files,deleted_files,suspicious_names
d7d9e05d-6b89-403f-8afe-d4a1539b2a45,0,0,
e046d2da-4910-441f-8eea-f1d8f4c000e7,42,0,"\\users\\devmac\\appdata\\local\\microsoft\\onedri, \\windows\\system32\\devdispitemprovider.dll"
e4ebf6bf-aadd-48d3-802c-21eaf6505846,114,0,\\windows\\assembly\\nativeimages_v2.0.50727_32\\t
