dump_id,connections,suspicious_ports,c2_hits
d7d9e05d-6b89-403f-8afe-d4a1539b2a45,87,0,38
e046d2da-4910-441f-8eea-f1d8f4c000e7,73,0,48
e4ebf6bf-aadd-48d3-802c-21eaf6505846,87,0,47
