TreeDepth,PID,Process,Offset,HandleValue,Type,GrantedAccess,Name
0,2588,SearchIndexer.,0xa87ec658,0x5b0,Key,0xf003f,MACHINE\\SOFTWARE\\MICROSOFT\\WINDOWS SEARCH\\GATHER\\WINDOWS\\SYSTEMINDEX\\SITES\\{S-1-5-21-2150415697-633925282-3831303979-1001}\\PATHS\\1
0,2588,SearchIndexer.,0x868bf838,0x5b8,ALPC Port,0x1f0001,-
0,2588,SearchIndexer.,0x86863d68,0x5bc,Event,0x1f0003,-
0,2588,SearchIndexer.,0x867b92d8,0x5c0,Event,0x1f0003,-
0,2588,SearchIndexer.,0x86b551b0,0x5c4,Event,0x1f0003,-
0,2588,SearchIndexer.,0x86b4ff08,0x5c8,Event,0x1f0003,-
0,2588,SearchIndexer.,0xa66741c0,0x5cc,Key,0xf003f,MACHINE\\SOFTWARE\\MICROSOFT\\WINDOWS SEARCH\\GATHER\\WINDOWS\\SYSTEMINDEX\\SITES\\LOCALHOST\\PATHS\\0
0,2588,SearchIndexer.,0x86967ad0,0x5d0,Event,0x1f0003,-
0,2588,SearchIndexer.,0x86b013d8,0x5d4,Event,0x1f0003,-
0,2588,SearchIndexer.,0x869ad690,0x5d8,Event,0x1f0003,-
0,2588,SearchIndexer.,0x869ad650,0x5dc,Event,0x1f0003,-
0,2588,SearchIndexer.,0xa6668c50,0x5e0,Key,0xf003f,MACHINE\\SOFTWARE\\MICROSOFT\\WINDOWS SEARCH\\GATHER\\WINDOWS\\SYSTEMINDEX\\SITES\\LOCALHOST\\PATHS\\1
0,2588,SearchIndexer.,0x8658a338,0x5e4,Event,0x1f0003,-
0,2588,SearchIndexer.,0xaba42e80,0x5e8,Key,0xf003f,MACHINE\\SOFTWARE\\MICROSOFT\\WINDOWS SEARCH\\GATHER\\WINDOWS\\SYSTEMINDEX\\SITES\\LOCALHOST\\PATHS\\2
0,2588,SearchIndexer.,0x86b31970,0x5ec,Event,0x1f0003,-
0,2588,SearchIndexer.,0x8659aa10,0x5f0,Event,0x1f0003,-
0,2588,SearchIndexer.,0x8659a9d0,0x5f4,Event,0x1f0003,-
0,2588,SearchIndexer.,0x867b9268,0x5f8,Event,0x1f0003,-
0,2588,SearchIndexer.,0xaba58660,0x5fc,Key,0xf003f,MACHINE\\SOFTWARE\\MICROSOFT\\WINDOWS SEARCH\\GATHER\\WINDOWS\\SYSTEMINDEX\\SITES\\LOCALHOST\\PATHS\\3
0,2588,SearchIndexer.,0x867b9228,0x600,Event,0x1f0003,-
0,2588,SearchIndexer.,0x86b56418,0x604,Event,0x1f0003,-
0,2588,SearchIndexer.,0x86b563d8,0x608,Event,0x1f0003,-
0,2588,SearchIndexer.,0x86833820,0x60c,Event,0x1f0003,-
0,2588,SearchIndexer.,0xa87e9d40,0x610,Key,0xf003f,MACHINE\\SOFTWARE\\MICROSOFT\\WINDOWS SEARCH\\GATHER\\WINDOWS\\SYSTEMINDEX\\SITES\\LOCALHOST\\PATHS\\4
0,2588,SearchIndexer.,0x8658eb30,0x614,Event,0x1f0003,-
0,2588,SearchIndexer.,0x86594aa8,0x618,Event,0x1f0003,-
0,2588,SearchIndexer.,0x86b4f388,0x61c,Event,0x1f0003,-
0,2588,SearchIndexer.,0x86b4eb00,0x620,Event,0x1f0003,-
0,2588,SearchIndexer.,0xabad66b0,0x624,Key,0xf003f,MACHINE\\SOFTWARE\\MICROSOFT\\WINDOWS SEARCH\\GATHER\\WINDOWS\\SYSTEMINDEX\\SITES\\LOCALHOST\\PATHS\\8
0,2588,SearchIndexer.,0x86b4ed90,0x628,Event,0x1f0003,-
0,2588,SearchIndexer.,0x86b4ed50,0x62c,Event,0x1f0003,-
0,2588,SearchIndexer.,0x86b4eac0,0x630,Event,0x1f0003,-
0,2588,SearchIndexer.,0x86b4e8d8,0x634,Event,0x1f0003,-
0,2588,SearchIndexer.,0x86b4dfb0,0x638,Event,0x1f0003,-
0,2588,SearchIndexer.,0x86b4e958,0x63c,Event,0x1f0003,-
0,2588,SearchIndexer.,0x86b4df30,0x640,Event,0x1f0003,-
0,2588,SearchIndexer.,0x86b4e7f8,0x644,Event,0x1f0003,-
0,2588,SearchIndexer.,0x86b4dff0,0x648,Event,0x1f0003,-
0,2588,SearchIndexer.,0x86b4e340,0x64c,Event,0x1f0003,-
0,2588,SearchIndexer.,0x86b51450,0x650,Event,0x1f0003,-
0,2588,SearchIndexer.,0x86b4e918,0x654,Event,0x1f0003,-
0,2588,SearchIndexer.,0x86b4e738,0x658,Event,0x1f0003,-
0,2588,SearchIndexer.,0x86914a10,0x65c,Event,0x1f0003,-
0,2588,SearchIndexer.,0x8690a9c0,0x660,Event,0x1f0003,-
0,2588,SearchIndexer.,0x8690a980,0x664,Event,0x1f0003,-
0,2588,SearchIndexer.,0x86833950,0x668,Event,0x1f0003,-
0,2588,SearchIndexer.,0x86833910,0x66c,Event,0x1f0003,-
0,2588,SearchIndexer.,0x868338d0,0x670,Event,0x1f0003,-
0,2588,SearchIndexer.,0xa76b9528,0x674,Key,0xf003f,MACHINE\\SOFTWARE\\MICROSOFT\\WINDOWS SEARCH\\GATHER\\WINDOWS\\SYSTEMINDEX\\SITES\\{S-1-5-21-2150415697-633925282-3831303979-1001}
